productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,district_name,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
39227418,10.0,1680.0,3.0,2.0,3.0,4.0,1,0,phu-nhuan,106.6813154,10.8061279,https://batdongsan.com.vn/ban-nha-rieng-duong-thich-quang-duc-phuong-4-19/ban-gap-phu-nhuan-tret-2-lau-phu-nhuan-pr39227418,68.0,1,0,0
39590101,140.0,8400.0,3.0,5.0,3.0,7.0,1,1,quan-2,106.7617495,10.7805057,https://batdongsan.com.vn/ban-nha-rieng-duong-2-1-phuong-cat-lai/ban-gap-3-tang-so-2-tp-thu-duc-dien-tich-140m2-gia-9-ty-200-pr39590101,54.0,0,0,0
39571572,62.7,4400.0,2.0,2.0,2.0,5.8,1,1,quan-2,106.7789192,10.8192906,https://batdongsan.com.vn/ban-nha-rieng-duong-10-phuong-binh-trung-tay/can-ban-gap-tret-1-lau-hxh-so-p-tp-thu-duc-dien-tich-63m2-gia-4-4-ty-pr39571572,54.0,1,0,0
39707839,60.0,6990.0,5.0,7.0,7.0,4.0,1,1,quan-7,106.7017145,10.7516138,https://batdongsan.com.vn/ban-nha-rieng-pho-tran-xuan-soan-phuong-tan-hung-14/quan-7-vip-hem-4m-60m2-7pn-cho-thue-pr39707839,59.0,0,0,0
39765703,63.0,11000.0,3.0,4.0,4.0,4.9,1,1,tan-binh,106.642353,10.7937409,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-hong-dao-phuong-14-10/tan-binh-3-tang-14-tang-noi-that-dt-63m2-4-9-x-13-3-11-ty-pr39765703,69.0,0,0,0
39854644,46.0,4900.0,3.0,4.0,3.0,4.0,1,1,quan-8,106.6841936,10.7437521,https://batdongsan.com.vn/ban-nha-rieng-duong-au-duong-lan-phuong-3-16/-chinh-chu-p3-q8-pr39854644,60.0,1,0,0
39855199,39.0,,2.0,4.0,3.0,4.2,0,1,quan-7,106.71040353039,10.7424489286496,https://batdongsan.com.vn/ban-nha-rieng-phuong-tan-quy/hiem-re-shr-can-goc-q7-2-tang-39m2sd-khu-dchh-cach-duong-so-20m-lotte-chi-100m-gi-a-2-x-ty-pr39855199,59.0,0,0,0
39048115,124.0,24000.0,7.0,15.0,15.0,4.5,1,1,tan-binh,106.6886078,10.7699949,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-thi-xuan-phuong-3-22/hem-4m-toa-chdv-ham-tret-5-lau-co-thang-may-dong-tien-155tr-thang-ty-suat-7-7-nam-gia-tot-pr39048115,69.0,0,0,0
39854470,78.6,5250.0,3.0,4.0,5.0,4.0,0,1,binh-tan,106.6015641,10.723484,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-1a-phuong-an-lac-6/-moi-80m2-4x20m-3-tg-g-vong-xoay-hem-xe-tai-1-truc-pr39854470,65.0,0,0,0
38641848,96.0,5500.0,4.0,4.0,4.0,6.0,1,0,nha-be,106.6984646,10.6752073,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-nhon-duc/ban-dat-tang-4-tang-mt-nhua-7m-dt-6x16-shr-cn-96m2-gia-chi-50tr-m2-hang-cuc-hiem-pr38641848,76.0,1,0,0
38437866,80.0,5800.0,3.0,4.0,4.0,,0,0,quan-7,106.7289438,10.747051,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-phuong-tan-thuan-dong-1/ban-3-tang-4-x-20m-ke-vincom-nam-long-chi-hon-5-ty-pr38437866,59.0,0,0,0
39854948,48.0,6400.0,1.0,2.0,2.0,10.0,0,0,quan-8,106.6586009,10.7383744,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-minh-truc-phuong-5-11/-mat-tien-4x12m-tien-it-xung-quanh-cho-truong-hoc-thuan-loi-kinh-doanh-f5-q8-nhinh-6ty-pr39854948,60.0,1,0,0
39853596,30.0,2680.0,3.0,4.0,3.0,8.0,1,1,binh-tan,106.5905848,10.7936373,https://batdongsan.com.vn/ban-nha-rieng-duong-so-6-phuong-binh-hung-hoa-b/an-hem-1-hxh-8m-3-lau-full-tho-cu-hh-tan-pr39853596,65.0,0,0,0
35530909,150.0,,7.0,43.0,43.0,6.0,0,1,quan-7,106.7255834,10.7430426,https://batdongsan.com.vn/ban-nha-rieng-duong-ly-phuc-man-phuong-binh-thuan-3/ban-can-ho-dich-vu-tro-6x25m-xd-7-tang-kdc-gia-tot-pr35530909,59.0,1,0,1
38505395,107.0,8200.0,,,,,0,1,tan-phu,106.6212039,10.7897061,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-quy-thich-phuong-tan-quy-2/q-phu-nat-tien-xay-moi-hem-6m-pr38505395,70.0,1,0,0
39559660,239.0,23500.0,,,,,0,1,phu-nhuan,106.692606,10.8033067,https://batdongsan.com.vn/ban-nha-rieng-pho-phan-dang-luu-phuong-7-11/ban-hxh-239m2-gia-chi-23-5-ty-100tr-m2-hien-thu-p-hon-100-trieu-thang-pr39559660,68.0,0,0,0
38615050,200.0,7800.0,,9.0,9.0,7.0,1,1,thu-duc,106.777568580793,10.8641769920695,https://batdongsan.com.vn/ban-nha-rieng-phuong-linh-trung/ban-gap-tro-gan-pham-van-dong-200m2-7mx28m-dong-tien-15tr-th-nhinh-7-ty-tl-pr38615050,71.0,0,0,0
39849805,64.0,7500.0,3.0,4.0,5.0,,0,1,binh-tan,106.6210179,10.7551997,https://batdongsan.com.vn/ban-nha-rieng-duong-phung-ta-chu-phuong-an-lac-6/can-ban-moi-xay-dep-vao-o-lien-pr39849805,65.0,1,0,0
